pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,explicacao
O Estado Novo foi instaurado em qual ano?,1935,1937,1940,1942,B,Getúlio Vargas instaurou a ditadura do Estado Novo em 1937.
Qual movimento ocorreu em 1922 e marcou o início do tenentismo?,Revolta da Chibata,Revolta dos 18 do Forte,Intentona Comunista,Revolta Paulista,B,Os 18 do Forte de Copacabana iniciaram o movimento tenentista.
Qual foi o objetivo da Coluna Prestes?,Implantar socialismo,Denunciar corrupção da República Velha,Independência regional,Abolir escravidão,B,A marcha denunciava o sistema oligárquico.
Quem foi o líder da Revolta da Chibata?,João Cândido,Luís Carlos Prestes,Getúlio Vargas,Floriano Peixoto,A,João Cândido liderou marinheiros contra castigos físicos.
Qual foi o principal produto do ciclo econômico do século XVII no Brasil?,Café,Ouro,Açúcar,Borracha,C,O açúcar dominou a economia colonial nesse período.
Qual tratado garantiu a independência do Brasil reconhecida por Portugal?,Tratado de Lisboa,Tratado de Petrópolis,Tratado do Rio de Janeiro,Tratado de Utrecht,C,O Tratado do Rio de Janeiro de 1825 reconheceu a independência.
Quem proclamou a República do Brasil?,Floriano Peixoto,Deodoro da Fonseca,Rui Barbosa,Benjamin Constant,B,O marechal Deodoro liderou o movimento em 1889.
Qual movimento ocorreu na Bahia em 1798 com forte participação popular?,Inconfidência Mineira,Conjuração Baiana,Revolta dos Alfaiates,Sabinada,C,A Conjuração Baiana também é chamada Revolta dos Alfaiates.
Qual foi a capital do Brasil durante o período colonial?,Rio de Janeiro,Salvador,Recife,São Paulo,B,Salvador foi capital de 1549 a 1763.
Qual foi o primeiro tratado que dividiu o território da América entre Portugal e Espanha?,Tratado de Madri,Tratado de Zaragoza,Tratado de Tordesilhas,Tratado de Utrecht,C,O Tratado de Tordesilhas foi assinado em 1494.
Quem foi o líder da Sabinada?,Francisco Sabino,Bento Gonçalves,Antônio Conselheiro,João Cândido,A,O médico Francisco Sabino liderou a revolta na Bahia.
Qual foi a principal região produtora de ouro no Brasil colonial?,Bahia,Minas Gerais,Pernambuco,Mato Grosso,B,Minas Gerais concentrou a maior produção aurífera do século XVIII.
Qual presidente instituiu o AI-5?,Castelo Branco,Emílio Médici,Artur Costa e Silva,Ernesto Geisel,C,O AI-5 foi decretado em 1968.
Qual foi o movimento que levou ao golpe militar de 1964?,Marcha da Família com Deus pela Liberdade,Diretas Já,Plano Real,Intentona Comunista,A,A marcha representou apoio civil ao golpe.
Quem foi o presidente deposto pelo golpe militar de 1964?,Juscelino Kubitschek,Jânio Quadros,João Goulart,Tancredo Neves,C,João Goulart foi deposto pelos militares.
Qual foi o principal projeto econômico de Juscelino Kubitschek?,Plano Cruzado,Plano Real,Plano de Metas,Plano Collor,C,O Plano de Metas buscava desenvolvimento industrial acelerado.
Em que ano Brasília foi inaugurada?,1958,1960,1962,1964,B,Brasília foi inaugurada em 21 de abril de 1960.
Quem liderou o movimento Diretas Já?,Tancredo Neves,Ulisses Guimarães,José Sarney,Leonel Brizola,B,Ulisses Guimarães foi um dos principais líderes do movimento.
Qual foi o primeiro presidente civil após a ditadura militar?,José Sarney,Tancredo Neves,Fernando Collor,Itamar Franco,A,Sarney assumiu após a morte de Tancredo.
Qual presidente sofreu impeachment em 1992?,José Sarney,Fernando Collor,Itamar Franco,Fernando Henrique Cardoso,B,Collor sofreu impeachment por corrupção.
Qual plano estabilizou a economia brasileira em 1994?,Plano Cruzado,Plano Verão,Plano Real,Plano Bresser,C,O Plano Real estabilizou a inflação.
Qual movimento ocorreu em 1932 em São Paulo?,Revolução Constitucionalista,Guerra dos Farrapos,Sabinada,Revolta da Armada,A,São Paulo exigia nova constituição.
Qual foi o principal líder da Revolução Farroupilha?,Bento Gonçalves,Garibaldi,Caxias,Dom Pedro II,A,Bento Gonçalves liderou o movimento separatista.
Qual tratado encerrou a Guerra do Paraguai?,Tratado de Assunção,Tratado de Versalhes,Tratado da Tríplice Aliança,Tratado de Petrópolis,A,O tratado consolidou a vitória da Tríplice Aliança.
Quem foi o imperador do Brasil durante a Guerra do Paraguai?,Dom Pedro I,Dom Pedro II,Dom João VI,Regência,B,Dom Pedro II governava o Brasil.
Qual movimento messiânico ocorreu no sul do Brasil entre 1912 e 1916?,Canudos,Guerra do Contestado,Sabinada,Baladiada,B,A Guerra do Contestado ocorreu entre Paraná e Santa Catarina.
Qual lei aboliu oficialmente a escravidão no Brasil?,Lei do Ventre Livre,Lei Eusébio de Queirós,Lei Áurea,Lei dos Sexagenários,C,A Lei Áurea foi assinada em 1888.
Qual foi o principal produto do ciclo da borracha?,Látex,Algodão,Café,Açúcar,A,O látex era usado para produção de borracha.
